raca,sexo,faixaEtaria,CO_MUNICIPIO_ESC,depAdminEsc,TP_ESCOLA,educMae,ocupPai,pessoasResid,rendFam,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,raca2,tpEscola,media,rendFamP
Parda,F,< 23,3550308,Estadual,2,9,G2,4,1100,434.8,491.3,468.6,518.8,540,PPI,Publica,478.375,275
Parda,M,< 23,,,1,5,G3,3,1650,,,,,,PPI,,,550
Branca,F,< 23,3550605,Estadual,2,12,NS,4,1100,449.8,538.3,584.1,447.3,460,Branca,Publica,504.875,275
Branca,F,< 23,,,1,16,G4,4,3300,,,,,,Branca,,,825
Parda,F,< 23,,,1,17,G1,3,1650,,,,,,PPI,,,550
Branca,F,< 23,,,1,12,G3,3,4400,706.5,646.4,662.3,572.5,620,Branca,,646.925,1466.66666666667
Branca,M,< 23,3516200,Privada,3,12,G4,4,13200,669.3,583.1,624.9,593.6,640,Branca,Privada,617.725,3300
Preta,F,< 23,3524402,Privada,2,9,G3,7,3300,504.7,467.1,428,545.6,640,PPI,Publica,486.35,471.428571428571
Branca,M,< 23,3550308,Estadual,2,9,G4,5,11000,,,,,,Branca,Publica,,2200
Branca,F,24-30,,,1,17,G4,1,5500,,,,,,Branca,,,5500
Parda,F,< 23,3530508,Municipal,2,5,G3,3,1650,,,,,,PPI,Publica,,550
Preta,F,< 23,3541000,Estadual,2,2,G4,4,1100,,,,,,PPI,Publica,,275
Preta,F,< 23,,,1,5,G3,1,1100,,,,,,PPI,,,1100
Branca,M,31-50,,,1,2,G3,4,0,,,,,,Branca,,,0
Parda,F,31-50,,,1,2,G1,4,1650,,,,,,PPI,,,412.5
Parda,F,< 23,,,1,2,G2,4,2200,,,,,,PPI,,,550
Branca,F,< 23,,,1,12,G4,3,4400,,,,,,Branca,,,1466.66666666667
Branca,F,< 23,,,2,2,NS,3,1650,,468.1,511.2,,560,Branca,Publica,,550
Branca,M,24-30,,,1,12,G4,3,2200,370.6,502.7,535.7,472.2,460,Branca,,470.3,733.333333333333
Branca,F,< 23,,,1,12,G3,4,4400,,,,,,Branca,,,1100
Parda,M,< 23,,,1,12,G2,4,6600,,,,,,PPI,,,1650
Branca,M,< 23,,,1,12,NS,4,2200,554.9,517.9,505.9,586.2,560,Branca,,541.225,550
Preta,F,24-30,,,1,2,G2,3,0,,,,,,PPI,,,0
Preta,F,< 23,,,1,2,NS,3,1100,474.1,554.1,550.2,537.2,560,PPI,,528.9,366.666666666667
Branca,F,< 23,,,1,17,G5,4,11000,749.2,662.5,679.5,662.9,860,Branca,,688.525,2750
Branca,M,< 23,3557105,Privada,3,17,G4,3,4400,766.2,550.9,592.8,613,580,Branca,Privada,630.725,1466.66666666667
Parda,F,24-30,,,1,5,G2,3,1650,389,540,489.1,473.6,640,PPI,,472.925,550
Amarela,F,< 23,,,1,12,NS,3,2200,659.5,544.3,605.5,589.2,560,Branca,,599.625,733.333333333333
Branca,M,< 23,,,1,16,G5,4,8800,676.9,606.1,624.6,670.9,640,Branca,,644.625,2200
Branca,F,< 23,,,1,16,G4,2,11000,564.9,481.8,510.1,436.7,640,Branca,,498.375,5500
Branca,M,< 23,3543907,Privada,3,16,G5,4,5500,574.3,563.3,570.4,490.8,580,Branca,Privada,549.7,1375
Parda,M,< 23,,,2,9,G2,2,1100,,489.3,466.7,,0,PPI,Publica,,550
Parda,F,< 23,3550308,Estadual,2,5,G3,6,2200,,491.4,435.8,,500,PPI,Publica,,366.666666666667
Parda,F,< 23,3529401,Estadual,2,12,G4,6,9900,575.4,555,543.5,528,740,PPI,Publica,550.475,1650
Parda,F,< 23,3547809,Privada,3,12,G4,2,4400,577.4,492.6,554.2,388.4,480,PPI,Privada,503.15,2200
Branca,M,< 23,3550308,Privada,3,12,G4,6,7700,606,489.6,532.7,449.7,780,Branca,Privada,519.5,1283.33333333333
Branca,F,< 23,3538709,Privada,3,17,G5,5,16500,638.9,604.6,591.1,582.5,920,Branca,Privada,604.275,3300
Branca,M,< 23,,,2,5,NS,5,4400,,,,,,Branca,Publica,,880
Branca,M,< 23,,,1,12,G5,2,2750,416.2,454.9,450.3,528,520,Branca,,462.35,1375
Branca,F,< 23,,,1,12,G3,4,4400,515.9,527.1,553.5,562.9,660,Branca,,539.85,1100
Parda,F,< 23,3550308,Privada,3,16,G4,4,11000,558.2,512.5,504,456.7,580,PPI,Privada,507.85,2750
Preta,F,< 23,3547304,Municipal,2,12,G3,6,1100,537.6,480.3,562.7,436.3,480,PPI,Publica,504.225,183.333333333333
Branca,M,< 23,3508702,Privada,3,16,NS,4,7700,642.7,553.4,600.1,624.8,680,Branca,Privada,605.25,1925
Branca,F,< 23,3550308,Privada,3,17,G4,3,4400,606.5,527.3,587.3,541.5,600,Branca,Privada,565.65,1466.66666666667
ND,F,< 23,,,1,12,G5,5,11000,691,612.5,533.4,516.8,900,,,588.425,2200
Branca,M,< 23,3552205,Estadual,2,16,G4,5,4400,677.9,612.6,635,594.9,620,Branca,Publica,630.1,880
Parda,F,24-30,,,1,9,NS,3,1100,514.7,518.8,522.9,494.4,520,PPI,,512.7,366.666666666667
Branca,M,< 23,,,1,12,G2,4,5500,734.2,626.8,716.8,613,680,Branca,,672.7,1375
Branca,M,24-30,,,1,12,G3,3,2750,416,456.6,400.7,488.7,480,Branca,,440.5,916.666666666667
Parda,M,24-30,,,1,16,G2,3,1100,439.7,478.1,512.3,373.4,480,PPI,,450.875,366.666666666667
Branca,M,< 23,3524402,Privada,3,9,G5,2,5500,729,601.5,596.4,642.5,760,Branca,Privada,642.35,2750
Branca,M,< 23,3547809,Estadual,2,17,G3,4,2200,431.3,476.2,518,409.9,540,Branca,Publica,458.85,550
Preta,F,< 23,,,2,,G2,5,1100,538.2,554.7,523.9,511.9,540,PPI,Publica,532.175,220
Parda,F,< 23,,,2,0,G2,2,1100,,,,,,PPI,Publica,,550
Preta,M,< 23,3503307,Estadual,2,12,G3,5,1650,,,,,,PPI,Publica,,330
Branca,M,< 23,,,1,16,G5,2,2750,701.4,551.6,601.6,542,740,Branca,,599.15,1375
Branca,F,< 23,,,1,12,NS,4,2200,547.2,564.6,587.5,608.6,520,Branca,,576.975,550
Parda,F,< 23,,,2,17,NS,2,2200,623.3,526.3,572.9,517.3,800,PPI,Publica,559.95,1100
Branca,F,< 23,,,1,2,G3,3,2200,409.7,509.2,392.3,481.5,660,Branca,,448.175,733.333333333333
Branca,M,< 23,3556206,Privada,3,16,G5,3,16500,693.4,498.3,645.7,524.1,640,Branca,Privada,590.375,5500
Branca,F,< 23,,,1,12,G2,6,1100,499,508.9,432.9,447.9,720,Branca,,472.175,183.333333333333
Parda,F,< 23,,,1,2,G1,2,1650,475.9,546.6,533.6,441.6,740,PPI,,499.425,825
Branca,M,< 23,3518800,Privada,3,16,G5,4,6600,757.9,590,601.6,571.6,660,Branca,Privada,630.275,1650
Preta,M,< 23,,,1,9,G3,3,1100,588.2,524.2,444.2,460.5,560,PPI,,504.275,366.666666666667
Amarela,F,< 23,,,1,12,G4,5,6600,676.3,596.4,575.3,589.2,920,Branca,,609.3,1320
Branca,M,< 23,,,1,17,G5,4,30000,780.7,643.3,693.9,703.2,920,Branca,,705.275,7500
Preta,F,< 23,3547809,Privada,3,16,G4,4,30000,428.5,532.7,478.8,523.2,580,PPI,Privada,490.8,7500
Preta,F,< 23,,,1,12,G2,3,1650,,,,,,PPI,,,550
Parda,F,< 23,,,1,9,G3,5,5500,,,,,,PPI,,,1100
Branca,M,< 23,,,1,16,G4,3,3300,595.5,608.3,608,565.2,700,Branca,,594.25,1100
Branca,F,31-50,,,1,,NS,2,1100,,,,,,Branca,,,550
Parda,F,< 23,,,1,12,G4,2,2750,,,,,,PPI,,,1375
Parda,F,< 23,,,1,17,NS,4,2200,585.2,497.2,592.3,596.7,740,PPI,,567.85,550
Preta,F,< 23,,,2,5,G1,3,1100,452.1,441.3,451.2,423.5,540,PPI,Publica,442.025,366.666666666667
Branca,F,< 23,,,1,12,G2,2,1100,,,,,,Branca,,,550
Parda,F,< 23,3518404,Estadual,2,17,G4,4,3300,707.2,495.4,537.7,383.4,640,PPI,Publica,530.925,825
Parda,F,31-50,,,1,2,G1,3,2200,469.4,356.1,493.9,375.8,480,PPI,,423.8,733.333333333333
Branca,F,< 23,3538709,Estadual,2,16,G2,2,2200,617.4,562.8,550.7,505.1,600,Branca,Publica,559,1100
Branca,F,< 23,3556206,Estadual,2,5,G4,4,8800,410.1,455.6,504.9,447.1,560,Branca,Publica,454.425,2200
Branca,F,< 23,,,2,12,G3,3,1650,464.4,600.9,606.7,487.1,880,Branca,Publica,539.775,550
Branca,F,24-30,,,1,9,G1,4,2200,,,,,,Branca,,,550
Branca,M,31-50,,,1,2,G3,2,1650,,,,,,Branca,,,825
Parda,F,< 23,,,1,16,G2,5,1100,,,,,,PPI,,,220
Branca,M,< 23,,,1,5,G3,4,3300,554.8,582.5,549.6,477.8,600,Branca,,541.175,825
Branca,F,< 23,3549805,Privada,2,16,G4,3,6600,530.8,543.5,548.1,434.1,0,Branca,Publica,514.125,2200
Branca,F,< 23,,,1,12,G2,2,3300,,,,,,Branca,,,1650
Branca,M,< 23,3506003,Estadual,2,12,G4,5,7700,645.1,554.8,597.9,355.2,660,Branca,Publica,538.25,1540
Preta,M,< 23,,,1,12,G2,2,1650,,,,,,PPI,,,825
Parda,F,< 23,,,1,16,G4,4,5500,,,,,,PPI,,,1375
Branca,F,24-30,,,1,2,G1,1,1100,393.1,396,353.2,441,340,Branca,,395.825,1100
Parda,M,24-30,,,1,2,G3,4,4400,710.4,584.2,566.9,554.7,640,PPI,,604.05,1100
Branca,F,< 23,,,1,12,G4,3,3300,642.5,620.7,675.5,606.4,620,Branca,,636.275,1100
Branca,M,< 23,,,1,12,G2,4,1650,,,,,,Branca,,,412.5
Branca,F,< 23,,,2,9,G3,3,2750,505.3,538.9,592.8,467.4,640,Branca,Publica,526.1,916.666666666667
Branca,M,< 23,,,1,12,G3,4,2200,628.6,489.1,610.1,470.1,580,Branca,,549.475,550
Branca,M,24-30,,,1,17,G4,3,8800,,,,,,Branca,,,2933.33333333333
Branca,M,< 23,3550308,Privada,3,17,G5,5,8800,786.6,620.5,657.3,708,940,Branca,Privada,693.1,1760
Parda,M,24-30,,,1,12,G1,4,4400,,,,,,PPI,,,1100
Amarela,M,< 23,,,1,16,G5,4,11000,734,554.7,644.5,603.4,560,Branca,,634.15,2750
Parda,M,< 23,,,1,12,NS,4,2750,668.3,595.8,628.7,583,560,PPI,,618.95,687.5
Parda,M,< 23,,,1,12,G3,6,8800,,,,,,PPI,,,1466.66666666667
Branca,F,< 23,,,1,17,G5,4,1650,,,,,,Branca,,,412.5
Branca,F,24-30,,,1,12,G2,2,2750,364.9,408.3,483.8,505.3,680,Branca,,440.575,1375
Amarela,M,< 23,,,1,16,G4,3,3300,521.9,550.8,624.5,550.2,540,Branca,,561.85,1100
Branca,F,< 23,3516200,Estadual,2,9,G4,5,3300,627.6,536.6,557.7,499.3,740,Branca,Publica,555.3,660
Preta,F,< 23,3550308,Estadual,2,12,NS,4,2200,438.7,402.8,471.5,464.3,500,PPI,Publica,444.325,550
Parda,M,< 23,,,1,12,G2,4,1100,493.5,560.1,575.4,462.6,620,PPI,,522.9,275
Branca,M,< 23,3550308,Privada,3,17,G5,2,30000,579.3,638,550,552.3,800,Branca,Privada,579.9,15000
Branca,M,< 23,,,1,12,G5,5,16500,713,557.2,579.7,590.3,800,Branca,,610.05,3300
Branca,F,31-50,,,1,2,G1,4,3300,441.3,416,534.4,407,480,Branca,,449.675,825
Branca,M,< 23,,,1,16,G3,5,8800,600.5,440.9,611.8,568.4,840,Branca,,555.4,1760
Preta,M,31-50,,,1,16,G1,2,2750,692.8,619,706,603.9,600,PPI,,655.425,1375
Preta,F,31-50,,,1,0,G1,1,1650,526.6,428.8,570.5,515.1,740,PPI,,510.25,1650
Branca,M,< 23,3548500,Estadual,2,12,G3,3,1650,506.6,513.6,531,417.7,0,Branca,Publica,492.225,550
Amarela,M,< 23,,,2,12,G3,4,2200,,,,,,Branca,Publica,,550
Parda,F,24-30,,,1,12,G2,3,1650,,417.7,503.3,,680,PPI,,,550
Parda,M,24-30,,,1,5,G2,8,2750,553.8,543.6,667.9,494.8,560,PPI,,565.025,343.75
Preta,F,< 23,3518800,Estadual,2,12,NS,3,1100,,,,,,PPI,Publica,,366.666666666667
Parda,M,31-50,,,1,,NS,5,1650,455.6,400.4,449.8,383,0,PPI,,422.2,330
Branca,F,< 23,,,1,12,G1,5,2750,,,,,,Branca,,,550
Parda,F,31-50,,,1,0,G1,1,1100,482.7,467.9,543.5,412.4,580,PPI,,476.625,1100
Branca,M,< 23,,,1,12,G4,1,2200,745.9,713.2,775.6,582.5,920,Branca,,704.3,2200
Branca,F,24-30,,,1,12,NS,11,1100,582.4,620.7,688,598.2,560,Branca,,622.325,100
Branca,F,< 23,3509502,Privada,3,17,NS,2,16500,426.8,524.3,579.2,549.8,560,Branca,Privada,520.025,8250
Branca,F,24-30,,,1,2,G3,2,1650,,,,,,Branca,,,825
Branca,M,< 23,,,1,12,NS,2,7700,,,,,,Branca,,,3850
Branca,F,< 23,,,1,17,G4,4,6600,,568,625.7,,900,Branca,,,1650
Parda,F,< 23,,,1,16,G4,3,2750,,,,,,PPI,,,916.666666666667
Branca,F,< 23,3507506,Estadual,2,17,G4,4,5500,703.7,575,623.8,502,720,Branca,Publica,601.125,1375
Branca,F,< 23,,,1,5,G3,1,1650,,,,,,Branca,,,1650
Branca,M,< 23,,,1,17,G5,4,7700,509.1,580.7,588.9,518,700,Branca,,549.175,1925
Branca,M,< 23,3509502,Privada,3,17,G3,3,30000,571.3,629.7,680.6,605.3,640,Branca,Privada,621.725,10000
Parda,F,< 23,2925105,Estadual,2,9,NS,4,1100,,,,,,PPI,Publica,,275
Branca,F,< 23,3524402,Privada,3,17,G3,3,11000,486.7,479.4,364.3,434.9,340,Branca,Privada,441.325,3666.66666666667
Branca,F,< 23,,,1,5,G3,3,5500,,,,,,Branca,,,1833.33333333333
Branca,F,31-50,,,1,5,G3,4,2200,,,,,,Branca,,,550
Branca,M,< 23,3548708,Privada,3,17,G5,4,11000,794.5,649.7,705.4,724.9,940,Branca,Privada,718.625,2750
Preta,F,< 23,,,1,12,G2,4,1650,461.9,543,457.9,394.4,460,PPI,,464.3,412.5
Parda,M,31-50,,,1,2,G1,3,1100,,,,,,PPI,,,366.666666666667
Branca,M,< 23,3505708,Municipal,2,16,G3,3,1650,,,,,,Branca,Publica,,550
Branca,M,< 23,3550308,Privada,2,12,G2,4,2750,461.7,506.6,525.4,567.4,600,Branca,Publica,515.275,687.5
Parda,F,24-30,,,1,12,G3,3,3300,760.6,597,640.8,636.3,740,PPI,,658.675,1100
Branca,F,< 23,,,1,17,G5,4,30000,890.3,658.6,750,723.1,860,Branca,,755.5,7500
Parda,M,< 23,3534401,Estadual,2,12,G3,5,2200,,,,,,PPI,Publica,,440
Preta,M,24-30,,,1,12,G2,4,5500,641.4,497.2,459.6,426.1,620,PPI,,506.075,1375
Branca,M,< 23,3505708,Municipal,2,9,G3,6,2200,713.1,512.4,546.2,574.9,640,Branca,Publica,586.65,366.666666666667
Branca,M,< 23,3503307,Privada,3,9,G4,3,3300,496.1,504,502.8,561.5,660,Branca,Privada,516.1,1100
Parda,F,31-50,,,1,5,G5,1,1650,,,,,,PPI,,,1650
Parda,F,< 23,,,1,12,G4,4,5500,442.9,483.4,505.2,412.9,940,PPI,,461.1,1375
Preta,M,< 23,,,1,12,NS,6,1650,,543.5,579.4,,560,PPI,,,275
Branca,M,< 23,3547809,Privada,3,17,G4,5,3300,533,477.8,494.7,466.6,640,Branca,Privada,493.025,660
Branca,F,< 23,,,1,12,G2,4,1100,,,,,,Branca,,,275
Branca,F,< 23,3526704,Estadual,2,12,G2,4,2750,669,583.9,624.1,463.5,640,Branca,Publica,585.125,687.5
Branca,F,< 23,,,2,16,G2,3,3300,396.7,465,530.3,395.4,720,Branca,Publica,446.85,1100
Branca,M,< 23,,,1,2,G1,4,1100,,,,,,Branca,,,275
Amarela,M,< 23,3550308,Privada,3,5,G4,3,8800,758.4,461.8,455.9,528.6,500,Branca,Privada,551.175,2933.33333333333
Branca,F,24-30,,,1,16,G2,2,2200,593.4,590,583,525.6,680,Branca,,573,1100
Parda,F,31-50,,,1,2,NS,1,1100,,,,,,PPI,,,1100
Parda,M,< 23,,,1,16,G4,2,3300,442.7,468.1,370.7,443.1,520,PPI,,431.15,1650
Preta,M,< 23,,,1,12,G2,4,1650,494.1,493.5,399.9,441.9,560,PPI,,457.35,412.5
Branca,F,< 23,3552205,Privada,3,16,G4,4,6600,595.5,450.3,453.6,547.8,640,Branca,Privada,511.8,1650
Branca,F,< 23,3539806,Estadual,2,16,G3,3,4400,537.1,617.8,595.7,474.7,600,Branca,Publica,556.325,1466.66666666667
Branca,F,< 23,,,2,12,G2,4,1650,402.2,460.8,549.2,424.8,680,Branca,Publica,459.25,412.5
Branca,F,24-30,,,1,5,G2,1,1100,,385.8,457,,420,Branca,,,1100
Branca,M,< 23,3515509,Estadual,2,9,G3,4,2200,584.7,534.7,532.3,440.1,660,Branca,Publica,522.95,550
Branca,F,< 23,3523909,Privada,3,17,G3,3,3300,475.2,534.1,597.7,539.8,720,Branca,Privada,536.7,1100
Parda,F,< 23,,,2,,NS,4,1100,,,,,,PPI,Publica,,275
Branca,F,31-50,,,1,2,G3,3,1650,,,,,,Branca,,,550
Parda,F,< 23,3550308,Estadual,2,12,G3,2,1650,607.7,573.2,558.1,567.3,680,PPI,Publica,576.575,825
Branca,M,< 23,3552205,Privada,3,16,G5,3,30000,666.5,629.1,684.6,631.8,680,Branca,Privada,653,10000
Amarela,F,< 23,,,1,12,G4,2,2750,825.1,627.1,709.1,727.5,880,Branca,,722.2,1375
ND,M,< 23,,,2,16,G4,3,2750,716.4,630.3,674.9,554.8,600,,Publica,644.1,916.666666666667
Parda,F,< 23,,,3,9,G2,2,4400,494.9,423,462.9,518.6,500,PPI,Privada,474.85,2200
Branca,F,< 23,,,2,2,G2,3,2200,409.5,370.5,357.7,430.9,600,Branca,Publica,392.15,733.333333333333
Branca,M,< 23,,,2,12,NS,7,1100,505.4,506,500,411.1,500,Branca,Publica,480.625,157.142857142857
Branca,F,< 23,3509502,Estadual,2,5,G3,3,2200,451.8,420.2,428.8,451.8,460,Branca,Publica,438.15,733.333333333333
Branca,F,< 23,,,2,16,G4,2,1650,482.5,570.4,506.3,552.6,720,Branca,Publica,527.95,825
Preta,M,< 23,,,2,12,G2,2,1650,402.7,467.2,441.3,355.6,520,PPI,Publica,416.7,825
Branca,F,< 23,3518206,Estadual,2,12,G3,4,2200,,,,,,Branca,Publica,,550
Branca,F,< 23,3550308,Privada,3,17,G4,4,30000,,566,595.8,,840,Branca,Privada,,7500
Preta,M,< 23,,,1,,NS,7,1650,438.6,384.6,436.4,402.8,540,PPI,,415.6,235.714285714286
Branca,M,< 23,3518800,Privada,3,16,G4,2,4400,473.5,511.2,554.5,373.5,580,Branca,Privada,478.175,2200
Branca,F,< 23,,,1,12,G3,4,3300,584.4,531.1,564.4,479.1,580,Branca,,539.75,825
Parda,F,< 23,3516705,Estadual,2,12,NS,5,2200,353.8,394.6,407.4,419.6,580,PPI,Publica,393.85,440
Parda,F,24-30,,,1,5,G4,3,2750,,,,,,PPI,,,916.666666666667
Parda,M,< 23,,,1,12,G3,5,3300,476.2,538.9,502.2,402.9,740,PPI,,480.05,660
Amarela,M,< 23,,,2,12,G3,4,2750,582.6,615.3,608.8,596.8,560,Branca,Publica,600.875,687.5
Parda,F,< 23,3524402,Privada,3,12,G4,3,4400,642.8,521.1,533.5,393.3,700,PPI,Privada,522.675,1466.66666666667
Branca,F,< 23,,,1,12,G4,4,2750,,,,,,Branca,,,687.5
Preta,F,< 23,,,1,5,G2,2,1650,,,,,,PPI,,,825
Branca,F,24-30,,,1,9,G4,3,1100,,469.5,510.1,,460,Branca,,,366.666666666667
Branca,M,< 23,3534401,Privada,3,17,G4,4,11000,801.2,575.1,689.3,654.9,840,Branca,Privada,680.125,2750
Parda,M,< 23,,,1,12,G4,6,13200,775.8,688.1,724.9,671,760,PPI,,714.95,2200
Preta,M,< 23,,,2,12,G3,6,4400,440.3,457.5,515.2,485.1,340,PPI,Publica,474.525,733.333333333333
Branca,M,< 23,,,3,16,G4,3,4400,,366.4,522.4,,520,Branca,Privada,,1466.66666666667
Parda,M,24-30,,,1,5,G2,3,1650,,,,,,PPI,,,550
Parda,F,< 23,,,1,5,NS,3,1100,583,501.3,564.5,565.8,700,PPI,,553.65,366.666666666667
Branca,F,< 23,3505906,Estadual,2,12,G1,4,3300,591.4,540.6,586.9,366.3,940,Branca,Publica,521.3,825
Parda,F,< 23,,,1,5,G2,4,1100,434.5,494.2,415.3,465.8,460,PPI,,452.45,275
Preta,F,< 23,,,1,12,G4,5,6600,590.7,573.8,553.7,431,620,PPI,,537.3,1320
Parda,F,< 23,,,1,12,NS,3,1650,,,,,,PPI,,,550
Parda,F,< 23,,,1,9,G3,2,1100,,,,,,PPI,,,550
Parda,F,< 23,,,1,2,G3,4,1100,,,,,,PPI,,,275
Parda,F,24-30,,,1,16,G1,3,1650,,,,,,PPI,,,550
Parda,M,< 23,3527207,Estadual,2,5,G3,4,2200,411.4,460.6,388.8,429.7,0,PPI,Publica,422.625,550
Branca,F,< 23,3550308,Privada,2,17,NS,2,16500,725.3,614.9,616.7,652.6,620,Branca,Publica,652.375,8250
Branca,M,< 23,,,1,12,G4,7,11000,805.8,636.4,649,662.1,780,Branca,,688.325,1571.42857142857
Parda,F,< 23,,,1,2,G2,4,1100,,,,,,PPI,,,275
Branca,M,< 23,3550308,Estadual,2,17,NS,6,2200,557.1,491,405.5,413.9,520,Branca,Publica,466.875,366.666666666667
Branca,M,< 23,3550308,Privada,3,12,G4,4,4400,579.7,408.8,475.6,358.4,580,Branca,Privada,455.625,1100
Parda,F,24-30,,,1,5,G3,3,4400,,,,,,PPI,,,1466.66666666667
Branca,F,< 23,,,1,16,G5,3,16500,613.9,667.7,611.3,544,820,Branca,,609.225,5500
Branca,F,24-30,,,1,2,G1,1,0,,,,,,Branca,,,0
Branca,M,< 23,,,1,12,G2,2,1650,480.9,404.8,409.3,353,480,Branca,,412,825
Branca,M,< 23,3501608,Privada,3,12,G5,4,22000,701.4,636.9,672.5,667.5,940,Branca,Privada,669.575,5500
Branca,M,< 23,,,1,9,G1,5,11000,788.4,622.3,632,677.1,820,Branca,,679.95,2200
Branca,M,< 23,3543402,Privada,3,12,G4,4,4400,737.8,569.8,611.7,618.8,680,Branca,Privada,634.525,1100
Parda,F,31-50,,,1,2,G4,3,3300,,,,,,PPI,,,1100
Parda,F,31-50,,,2,,G1,5,1100,314.3,468.6,496.5,424.4,0,PPI,Publica,425.95,220
Branca,F,< 23,,,1,12,G1,6,2200,608,568.8,620.9,580.5,760,Branca,,594.55,366.666666666667
Parda,F,< 23,,,2,12,G1,2,1650,,,,,,PPI,Publica,,825
Amarela,F,< 23,3552205,Privada,3,16,G5,3,9900,694,577.2,601.4,538.8,840,Branca,Privada,602.85,3300
Branca,M,< 23,,,1,17,G5,5,30000,809.8,664.5,704.3,672,840,Branca,,712.65,6000
Branca,M,< 23,3509502,Estadual,2,9,G3,3,1100,492.6,538.2,510.5,517,620,Branca,Publica,514.575,366.666666666667
Branca,F,24-30,,,1,2,G1,2,1100,,,,,,Branca,,,550
Branca,M,< 23,,,1,5,G2,3,2200,556.5,473.5,523.1,477.4,560,Branca,,507.625,733.333333333333
Parda,F,< 23,,,1,5,G2,3,2750,635.9,472,526.5,457.4,560,PPI,,522.95,916.666666666667
ND,F,< 23,,,1,17,G3,2,2200,510.5,595.5,635.3,585.6,780,,,581.725,1100
Branca,F,< 23,3550308,Estadual,2,12,G3,4,1650,,,,,,Branca,Publica,,412.5
Branca,F,< 23,3548500,Privada,3,12,G4,4,2750,424.5,464.1,446.3,442.9,580,Branca,Privada,444.45,687.5
Parda,M,24-30,,,1,2,G3,2,1650,,,,,,PPI,,,825
Preta,M,< 23,,,1,12,G2,2,1100,,,,,,PPI,,,550
Branca,F,< 23,3538709,Privada,3,9,G4,4,1100,537.3,499.8,562.9,519.7,600,Branca,Privada,529.925,275
Parda,F,31-50,,,1,,G1,4,1100,,,,,,PPI,,,275
Parda,F,< 23,3550308,Estadual,2,16,G4,3,0,,,,,,PPI,Publica,,0
Branca,F,< 23,,,1,9,G2,3,1650,,,,,,Branca,,,550
Branca,F,< 23,,,2,12,G3,3,1100,381.8,518.8,536.3,488.5,640,Branca,Publica,481.35,366.666666666667
Branca,M,< 23,,,1,12,G4,5,5500,,,,,,Branca,,,1100
Parda,F,< 23,,,1,9,G2,3,1650,,,,,,PPI,,,550
Branca,F,< 23,3550308,Estadual,2,12,G2,2,2200,512.2,433.8,412.6,416.9,480,Branca,Publica,443.875,1100
Parda,F,< 23,,,2,9,G2,4,1100,472.1,426.3,428.4,424,760,PPI,Publica,437.7,275
Branca,M,< 23,,,1,16,G3,4,11000,683.6,609.8,679.9,654.5,440,Branca,,656.95,2750
Branca,M,< 23,,,1,12,G2,4,3300,,,,,,Branca,,,825
Branca,F,< 23,3541000,Estadual,2,16,G3,4,13200,,,,,,Branca,Publica,,3300
Branca,M,< 23,,,1,17,G5,4,13200,,,,,,Branca,,,3300
Preta,F,< 23,,,1,12,G4,3,2200,506.7,516.6,569.4,447,820,PPI,,509.925,733.333333333333
Branca,M,< 23,3517406,Estadual,2,12,G4,4,1650,,,,,,Branca,Publica,,412.5
Branca,F,24-30,,,1,5,NS,4,1650,,,,,,Branca,,,412.5
Branca,F,< 23,3549904,Privada,3,17,G5,2,30000,625.3,569.7,562.1,545.3,680,Branca,Privada,575.6,15000
Parda,F,< 23,3550308,Estadual,2,16,NS,4,1650,425,452.3,369.5,395.3,540,PPI,Publica,410.525,412.5
Parda,F,< 23,,,1,5,G3,4,2200,409.5,500.7,480,451,540,PPI,,460.3,550
Branca,M,< 23,3522604,Estadual,2,12,G3,2,2200,626.6,512,524,522.5,580,Branca,Publica,546.275,1100
Branca,F,31-50,,,1,12,G3,2,0,376.9,422.6,432.5,487.7,340,Branca,,429.925,0
Branca,F,24-30,,,1,5,NS,3,1650,,,,,,Branca,,,550
Parda,F,< 23,3506102,Estadual,2,12,G3,3,1650,519.7,420.4,462.5,407.2,540,PPI,Publica,452.45,550
Branca,F,< 23,,,2,9,NS,3,3300,466.7,495.7,456.7,432.3,520,Branca,Publica,462.85,1100
Preta,M,< 23,,,1,0,G1,3,1650,768.1,601.1,617.4,568.2,720,PPI,,638.7,550
Preta,F,< 23,,,1,12,G3,4,2200,,,,,,PPI,,,550
Branca,F,< 23,,,1,12,G4,3,3300,738.9,673.6,739.8,677.7,900,Branca,,707.5,1100
Preta,F,< 23,,,1,9,G4,2,3300,640.7,591.8,696,633.8,760,PPI,,640.575,1650
Parda,M,< 23,3550308,Privada,3,17,G5,4,22000,660.9,560.4,651.4,604,700,PPI,Privada,619.175,5500
Parda,F,< 23,3550308,Estadual,2,16,G5,6,9900,524.1,547.5,542.8,534.3,0,PPI,Publica,537.175,1650
Branca,F,< 23,3530607,Estadual,2,12,NS,4,1650,453.4,396.1,345.9,498.7,360,Branca,Publica,423.525,412.5
Preta,F,< 23,,,2,12,G2,3,3300,581.5,549.4,532.6,459.3,680,PPI,Publica,530.7,1100
Parda,M,< 23,,,1,12,G3,6,2750,537.7,416.8,441.5,347.1,460,PPI,,435.775,458.333333333333
Parda,F,< 23,,,2,2,G2,5,1100,437.7,435.8,391,384.3,580,PPI,Publica,412.2,220
